[ERROR 2020-02-12 17:28:12]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:28:13]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:28:14]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:28:14]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:28:14]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:28:14]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:28:14]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:28:14]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:29:15]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:29:16]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:29:16]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:29:16]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:29:16]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:29:16]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:29:16]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:29:16]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:29:17]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:29:17]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:29:17]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:29:17]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:29:17]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:29:17]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
